technique_id,technique_name,class,n_reports,sections,instances,evidence,verdict (correct/incorrect/unsure),notes
T1071.004,DNS,report-specific (4/10),4,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Exfiltration > 2.03 GB > Network,1,Splashtop Domain in DNS Lookup,,
T1070,Indicator Removal,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1036,Masquerading,promoted-parent,8,,0,(parent promoted from mapped sub-techniques),,
T1554,Compromise Host Software Binary,report-specific (2/10),2,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Exfiltration > 2.03 GB > Yara,1,BINARYALERT_Hacktool_Windows_Mimikatz_Copywrite,,
T1036.010,Masquerade Account Name,judge-flagged,2,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Command and Control > Atera and Splashtop,1,disp name johnattan,,
T1190,Exploit Public-Facing Application,corpus-common (7/10),7,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Case Summary,1,internet-facing RDP server,,
T1070.004,File Deletion,judge-flagged,6,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Case Summary | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Discovery,2,delete shadow,,
T1563.002,RDP Hijacking,corpus-common (6/10),6,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Case Summary | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Command and Control > Atera and Splashtop | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Command and Control > Direct RDP access,3,used RDP to move laterally,,
T1115,Clipboard Data,report-specific (1/10),1,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Command and Control > Atera and Splashtop,1,ClipboardChange,,
T1567.002,Exfiltration to Cloud Storage,report-specific (2/10),2,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Exfiltration,1,data exfiltrated to the remote server,,
T1564.004,NTFS File Attributes,judge-flagged,1,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Exfiltration > 2.03 GB | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Exfiltration > 2.03 GB > Sigma,2,NTFS artifacts,,
T1486,Data Encrypted for Impact,corpus-common (8/10),8,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Exfiltration > 2.03 GB > Impact,1,left impacted files encrypted,,
T1490,Inhibit System Recovery,report-specific (2/10),2,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Defense Evasion,1,delete shadow copy,,
T1087,Account Discovery,promoted-parent,4,,0,(parent promoted from mapped sub-techniques),,
T1557.001,Name Resolution Poisoning and SMB Relay,judge-flagged,6,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Discovery,1,making DNS requests,,
T1685.005,Clear Windows Event Logs,report-specific (3/10),3,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Defense Evasion,1,clear Windows logs,,
T1059.001,PowerShell,corpus-common (6/10),6,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Execution,1,numerous PowerShell commands were executed,,
T1567,Exfiltration Over Web Service,promoted-parent,2,,0,(parent promoted from mapped sub-techniques),,
T1087.002,Domain Account,judge-flagged,3,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Exfiltration > 2.03 GB > MITRE ATT&CK,1,Domain Account,,
T1133,External Remote Services,judge-flagged,3,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Case Summary | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Exfiltration > 2.03 GB > MITRE ATT&CK,2,installed via RDP on two backup servers,,
T1218.007,Msiexec,report-specific (2/10),2,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Exfiltration > 2.03 GB > Computed,1,setup.msi,,
T1564,Hide Artifacts,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1685,Disable or Modify Tools,promoted-parent,4,,0,(parent promoted from mapped sub-techniques),,
T1590,Gather Victim Network Information,promoted-parent,5,,0,(parent promoted from mapped sub-techniques),,
T1590.005,IP Addresses,judge-flagged,2,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Initial Access,1,accessing the _Initial Access Use_,,
T1134,Access Token Manipulation,judge-flagged,4,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Initial Access,1,Elevated Token: Yes,,
T1021,Remote Services,corpus-common (9/10),9,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Case Summary | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Command and Control > Atera and Splashtop,4,used RDP,,
T1016,System Network Configuration Discovery,report-specific (3/10),3,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Discovery,1,network interface configuration,,
T1071.002,File Transfer Protocols,report-specific (3/10),3,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Case Summary | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Lateral Movement > SMB,2,exfiltrate files over SFTP,,
T1059,Command and Scripting Interpreter,promoted-parent,10,,0,(parent promoted from mapped sub-techniques),,
T1563,Remote Service Session Hijacking,judge-flagged,6,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Persistence,1,deployed Atera,,
T1546,Event Triggered Execution,judge-flagged,6,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Persistence,1,setting up services,,
T1003,OS Credential Dumping,corpus-common (8/10),8,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Credential Access,1,Mimikatz was used to capture various sensitive information,,
T1110,Brute Force,promoted-parent,5,,0,(parent promoted from mapped sub-techniques),,
T1021.001,Remote Desktop Protocol,judge-flagged,9,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Case Summary | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Command and Control > Atera and Splashtop | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Command and Control > Direct RDP access | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Credential Access,14,successful logons,,
T1518,Software Discovery,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1078,Valid Accounts,corpus-common (8/10),8,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Case Summary,1,credential harvesting,,
T1482,Domain Trust Discovery,corpus-common (6/10),6,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Discovery,1,Discover domain trust relationships,,
T1110.003,Password Spraying,judge-flagged,1,Hide Your RDP: Password Spray Leads to RansomHub Deployment | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Case Summary | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Command and Control > Direct RDP access | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Discovery,10,password spray,,
T1210,Exploitation of Remote Services,corpus-common (7/10),7,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Key Takeaways,1,executed using remote services,,
T1003.001,LSASS Memory,corpus-common (7/10),7,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Case Summary | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Credential Access | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Exfiltration > 2.03 GB > MITRE ATT&CK | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Key Takeaways,5,extract stored credentials and interact with LSASS,,
T1021.004,SSH,judge-flagged,3,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Exfiltration | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Exfiltration > 2.03 GB > Sigma,2,exfiltrate data over an SSH,,
T1071,Application Layer Protocol,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1552,Unsecured Credentials,judge-flagged,4,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Exfiltration > 2.03 GB > Yara,1,DITEKSHEN_INDICATOR_RMM_Atera_CERT,,
T1564.006,Run Virtual Instance,judge-flagged,1,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Command and Control > Atera and Splashtop | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Exfiltration > 2.03 GB > Impact,2,VirtualBox-hosted environment,,
T1059.003,Windows Command Shell,corpus-common (6/10),6,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Execution,2,a batch script used to execute a RClone job,,
T1049,System Network Connections Discovery,judge-flagged,7,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Case Summary | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Discovery | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Exfiltration > 2.03 GB > Sigma,3,execution of the NetScan tool,,
T1059.005,Visual Basic,report-specific (2/10),2,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Execution | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Exfiltration,2,<mark>`nocmd.vbs`</mark> was executed as part of the exfiltration process,,
T1218,System Binary Proxy Execution,promoted-parent,9,,0,(parent promoted from mapped sub-techniques),,
