Report,Change,Type,Detail
Confluence Exploit Leads to LockBit Ransomware,T1070.001 -> T1685.005,ATT&CK version migration,Clear Windows Event Logs (T1070.001) in the report's v17/v18 list is Clear Windows Event Logs (T1685.005) in v19.1 - v19 moved log clearing from T1070 Indicator Removal to T1685 Disable or Modify Tools
Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware,T1562.001 -> T1685,ATT&CK version migration,Disable or Modify Tools (T1562.001) in the report's v17/v18 list is Disable or Modify Tools (T1685) in v19.1 - v19 promoted the sub-technique to a top-level technique
Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware,T1562.004 -> T1686,ATT&CK version migration,Disable or Modify System Firewall (T1562.004) in the report's v17/v18 list is Disable or Modify System Firewall (T1686) in v19.1 - v19 promoted the sub-technique to a top-level technique
Hide Your RDP: Password Spray Leads to RansomHub Deployment,T1070.001 -> T1685.005,ATT&CK version migration,Clear Windows Event Logs (T1070.001) in the report's v17/v18 list is Clear Windows Event Logs (T1685.005) in v19.1 - v19 moved log clearing from T1070 Indicator Removal to T1685 Disable or Modify Tools
Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs,T1562.001 -> T1685,ATT&CK version migration,Disable or Modify Tools (T1562.001) in the report's v17/v18 list is Disable or Modify Tools (T1685) in v19.1 - v19 promoted the sub-technique to a top-level technique
Fake Zoom Ends in Blacksuit Ransomware,TI067.002 -> T1069.002,Wrong technique id,"""Domain Groups"" - TI067.002 is not T1069.002; correct entry is T1069.002 Domain Groups"
Fake Zoom Ends in Blacksuit Ransomware,TI08 -> T1018,Wrong technique id,"""Remote System Discovery"" - TI08 is not T1018; correct entry is T1018 Remote System Discovery"
Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs,T1136001 -> T1087.001,Wrong technique id,"""Local Account"" - T1136001 is not T1087.001; correct entry is T1087.001 Local Account"
From a Single Click: How Lunar Spider Enabled a Near Two-Month Intrusion,T1086 -> T1046,Wrong technique id,"""Network Service Discovery"" - T1086 is not T1046; correct entry is T1046 Network Service Discovery"
From a Single Click: How Lunar Spider Enabled a Near Two-Month Intrusion,T482 -> T1482,Wrong technique id,"""Domain Trust Discovery"" - T482 is not T1482; correct entry is T1482 Domain Trust Discovery"
