technique_id,technique_name,class,n_reports,sections,instances,evidence,verdict (correct/incorrect/unsure),notes
T1572,Protocol Tunneling,report-specific (3/10),3,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Command and Control > SystemBC,1,establish a tunnel,,
T1039,Data from Network Shared Drive,judge-flagged,3,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Discovery,2,multiple files,,
T1218.011,Rundll32,report-specific (2/10),2,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Execution,3,rundll32.exe,,
T1547.009,Shortcut Modification,report-specific (1/10),1,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Persistence,1,ChromeAlt_dbg.lnk,,
T1036.008,Masquerade File Type,report-specific (2/10),2,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Execution,1,masquerade,,
T1090,Proxy,detection-sourced,5,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Detections > Network,1,CnC Init,,
T1570,Lateral Tool Transfer,report-specific (2/10),2,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Key Takeaways,1,lateral movement was primarily accomplished through RDP connections,,
T1587.001,Malware,report-specific (3/10),3,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Case Summary,1,Grixba tooling,,
T1112,Modify Registry,report-specific (2/10),2,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Defense Evasion,1,modify critical registry keys,,
T1003,OS Credential Dumping,judge-flagged,8,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Credential Access,1,extract credentials,,
T1560.001,Archive via Utility,report-specific (3/10),3,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Collection | Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > MITRE ATT&CK,3,used WinRAR.exe,,
T1595.002,Vulnerability Scanning,report-specific (3/10),3,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Discovery,1,scans computer networks,,
T1071,Application Layer Protocol,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1047,Windows Management Instrumentation,corpus-common (6/10),6,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Lateral Movement | Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > MITRE ATT&CK,2,WmiPrvSE.exe,,
T1557.001,Name Resolution Poisoning and SMB Relay,detection-sourced,6,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Diamond Model Indicators > Computed,1,earthtime.exe,,
T1518,Software Discovery,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1036.003,Rename Legitimate Utilities,report-specific (2/10),2,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Persistence,1,ChromeAlt_dbg.exe,,
T1078.003,Local Accounts,report-specific (1/10),1,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Privilege Escalation,1,added this newly created account,,
T1587,Develop Capabilities,promoted-parent,5,,0,(parent promoted from mapped sub-techniques),,
T1505.001,SQL Stored Procedures,report-specific (1/10),1,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Credential Access,1,establishes a connection,,
T1078,Valid Accounts,promoted-parent,8,,0,(parent promoted from mapped sub-techniques),,
T1070,Indicator Removal,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1584.005,Botnet,detection-sourced,1,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Detections > Network,1,botnet C2 traffic,,
T1059.001,PowerShell,corpus-common (6/10),6,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Credential Access | Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Discovery,2,PowerShell’s script block logging feature,,
T1518.002,Backup Software Discovery,judge-flagged,5,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Case Summary | Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Credential Access | Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Discovery,5,security programs,,
T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,report-specific (1/10),1,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Exfiltration,1,unencrypted FTP protocol,,
T1553,Subvert Trust Controls,promoted-parent,3,,0,(parent promoted from mapped sub-techniques),,
T1049,System Network Connections Discovery,corpus-common (7/10),7,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Discovery,1,targeted destination port 135,,
T1070.006,Timestomp,report-specific (1/10),1,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Defense Evasion,1,timestomping activities,,
T1588,Obtain Capabilities,promoted-parent,3,,0,(parent promoted from mapped sub-techniques),,
T1574.001,DLL,report-specific (5/10),5,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Diamond Model Indicators > Computed | Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Execution,4,wakewordengine.dll,,
T1560,Archive Collected Data,promoted-parent,3,,0,(parent promoted from mapped sub-techniques),,
T1486,Data Encrypted for Impact,judge-flagged,8,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Impact | Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Key Takeaways,2,Betruger,,
T1055.013,Process Doppelgänging,detection-sourced,1,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Detections > Sigma,1,Process Execution From A Potentially Suspicious,,
T1574,Hijack Execution Flow,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1040,Network Sniffing,judge-flagged,4,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Case Summary,1,during traffic analysis,,
T1548.002,Bypass User Account Control,report-specific (3/10),3,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Privilege Escalation,1,utilizing the “-s” parameter,,
T1070.004,File Deletion,corpus-common (6/10),6,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Discovery,1,creation of a file,,
T1055.001,Dynamic-link Library Injection,corpus-common (6/10),6,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Execution,2,injecting itself,,
T1080,Taint Shared Content,judge-flagged,3,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Case Summary | Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Collection,3,remotely mounted share,,
T1127,Trusted Developer Utilities Proxy Execution,promoted-parent,3,,0,(parent promoted from mapped sub-techniques),,
T1552.002,Credentials in Registry,report-specific (2/10),2,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Credential Access,1,query the Windows Registry,,
T1104,Multi-Stage Channels,report-specific (3/10),3,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Command and Control,1,Three separate Command,,
T1546,Event Triggered Execution,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1021.001,Remote Desktop Protocol,corpus-common (9/10),9,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Case Summary | Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Discovery | Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Key Takeaways | Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Lateral Movement,6,accessed the beachhead,,
T1571,Non-Standard Port,report-specific (2/10),2,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Execution,1,communicated with _45.141.87.55_ on ports 9000 and 15647,,
T1003.001,LSASS Memory,corpus-common (7/10),7,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Credential Access,1,accessed the LSASS,,
T1057,Process Discovery,corpus-common (6/10),6,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Discovery,1,_whoami_,,
T1082,System Information Discovery,report-specific (2/10),2,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Discovery,1,_net user_ and _net group_,,
T1036.005,Match Legitimate Resource Name or Location,report-specific (1/10),1,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Defense Evasion,1,mimicking Avast Antivirus,,
T1190,Exploit Public-Facing Application,judge-flagged,7,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Diamond Model Indicators > Atomic | Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Initial Access,2,This behavior matches,,
T1127.001,MSBuild,report-specific (2/10),2,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Command and Control > SectopRAT | Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Diamond Model Indicators > Atomic | Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Execution,4,MSBuild.exe,,
T1595,Active Scanning,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1679,Selective Exclusion,judge-flagged,1,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Case Summary,1,links to three,,
T1003.006,DCSync,report-specific (2/10),2,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Case Summary | Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Credential Access,2,DCSync attack,,
T1074,Data Staged,report-specific (1/10),1,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Exfiltration,1,systematic data archiving,,
T1078.001,Default Accounts,report-specific (5/10),5,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Case Summary,1,new local account,,
T1482,Domain Trust Discovery,corpus-common (6/10),6,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Discovery,1,"query the CN=Subnets,CN=Sites,CN=Configuration partition",,
T1036,Masquerading,corpus-common (8/10),8,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Defense Evasion,1,masquerading,,
T1033,System Owner/User Discovery,report-specific (5/10),5,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Lateral Movement,1,enumerating specific user accounts,,
T1546.016,Installer Packages,report-specific (2/10),2,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Initial Access,1,copy that file instead,,
T1136,Create Account,promoted-parent,4,,0,(parent promoted from mapped sub-techniques),,
T1553.004,Install Root Certificate,judge-flagged,2,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Execution,1,compromised or fraudulent,,
T1204,User Execution,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1204.002,Malicious File,report-specific (4/10),4,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Key Takeaways,1,impersonating DeskSoft’s EarthTime application,,
T1584,Compromise Infrastructure,promoted-parent,5,,0,(parent promoted from mapped sub-techniques),,
T1547,Boot or Logon Autostart Execution,promoted-parent,5,,0,(parent promoted from mapped sub-techniques),,
T1202,Indirect Command Execution,report-specific (4/10),4,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Discovery,1,command line parameters shown below,,
T1041,Exfiltration Over C2 Channel,judge-flagged,6,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Command and Control,1,Three separate Command,,
T1592.002,Software,judge-flagged,1,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Impact,1,linked to three,,
T1197,BITS Jobs,detection-sourced,1,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Detections > Sigma,1,BITS Transfer,,
T1556.002,Password Filter DLL,judge-flagged,1,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Credential Access,1,ProtectedStorage,,
T1608,Stage Capabilities,promoted-parent,8,,0,(parent promoted from mapped sub-techniques),,
T1071.002,File Transfer Protocols,report-specific (3/10),3,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Exfiltration,2,standard FTP commands,,
T1552,Unsecured Credentials,promoted-parent,4,,0,(parent promoted from mapped sub-techniques),,
T1505,Server Software Component,promoted-parent,1,,0,(parent promoted from mapped sub-techniques),,
T1059,Command and Scripting Interpreter,corpus-common (10/10),10,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Discovery,1,using PsExec,,
T1083,File and Directory Discovery,report-specific (1/10),1,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Discovery,2,"C:\
Users\\Public\\Music\\_directory",,
T1574.007,Path Interception by PATH Environment Variable,judge-flagged,2,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Discovery,1,checkwrite flag,,
