technique_id,technique_name,class,n_reports,sections,instances,evidence,verdict (correct/incorrect/unsure),notes
T1583,Acquire Infrastructure,promoted-parent,3,,0,(parent promoted from mapped sub-techniques),,
T1070.010,Relocate Malware,judge-flagged,1,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Initial Access,1,related to a W-9 tax form,,
T1574,Hijack Execution Flow,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1608,Stage Capabilities,promoted-parent,8,,0,(parent promoted from mapped sub-techniques),,
T1072,Software Deployment Tools,report-specific (2/10),2,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Case Summary,1,escalated privileges using Windows’ Secondary Logon service,,
T1027.008,Stripped Payloads,report-specific (2/10),2,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Execution,1,conceals its strings,,
T1021.006,Windows Remote Management,detection-sourced,1,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Detections,2,ed74fe75-7594-4b4b-ae38-e38e3fd2eb23 : Outbound RDP Connections Over Non-Standard Tools,,
T1569.002,Service Execution,judge-flagged,2,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Lateral Movement,1,service Execution,,
T1218,System Binary Proxy Execution,promoted-parent,9,,0,(parent promoted from mapped sub-techniques),,
T1555.003,Credentials from Web Browsers,judge-flagged,2,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Credential Access | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Key Takeaways,4,harvesting credentials,,
T1059.005,Visual Basic,report-specific (2/10),2,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Diamond Model Indicators | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Exfiltration,2,start.vbs,,
T1555,Credentials from Password Stores,promoted-parent,3,,0,(parent promoted from mapped sub-techniques),,
T1571,Non-Standard Port,judge-flagged,2,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Command and Control,1,443,,
T1127,Trusted Developer Utilities Proxy Execution,promoted-parent,3,,0,(parent promoted from mapped sub-techniques),,
T1055,Process Injection,corpus-common (6/10),6,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Defense Evasion,1,inside explorer's memory,,
T1552.002,Credentials in Registry,report-specific (2/10),2,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Credential Access,1,querying Windows registry keys,,
T1011,Exfiltration Over Other Network Medium,judge-flagged,2,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Exfiltration,1,exfiltration activity took place over,,
T1480,Execution Guardrails,promoted-parent,1,,0,(parent promoted from mapped sub-techniques),,
T1110.001,Password Guessing,judge-flagged,1,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Command and Control,1,hostname of the infected workstation,,
T1037.004,RC Scripts,detection-sourced,1,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Diamond Model Indicators,1,RC4,,
T1210,Exploitation of Remote Services,corpus-common (7/10),7,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Case Summary | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Discovery | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Lateral Movement,5,used PsExec to remotely deploy,,
T1608.001,Upload Malware,judge-flagged,7,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Case Summary | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Command and Control | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Initial Access | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Key Takeaways,5,downloaded and executed,,
T1069,Permission Groups Discovery,promoted-parent,2,,0,(parent promoted from mapped sub-techniques),,
T1110,Brute Force,report-specific (5/10),5,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Detections | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Diamond Model Indicators | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Initial Access,4,utilized Brute Ratel,,
T1190,Exploit Public-Facing Application,detection-sourced,7,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Diamond Model Indicators,1,/vodeo/wg01ck01,,
T1564,Hide Artifacts,detection-sourced,6,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Detections,1,Windows_Trojan_BruteRatel,,
T1020,Automated Exfiltration,judge-flagged,3,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Impact,1,data exfiltration,,
T1204,User Execution,corpus-common (6/10),6,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Case Summary | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Discovery,2,executed a malicious,,
