report,technique_id,technique_name,score,flagged,instances,sections,best_evidence
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1003.001,LSASS Memory,100,0,5,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Case Summary | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Credential Access | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Exfiltration > 2.03 GB > MITRE ATT&CK | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Key Takeaways,extract stored credentials and interact with LSASS
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1021,Remote Services,100,0,4,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Case Summary | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Command and Control > Atera and Splashtop,used RDP
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1021.001,Remote Desktop Protocol,100,1,14,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Case Summary | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Command and Control > Atera and Splashtop | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Command and Control > Direct RDP access | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Credential Access,successful logons
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1021.004,SSH,100,1,2,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Exfiltration | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Exfiltration > 2.03 GB > Sigma,exfiltrate data over an SSH
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1048,Exfiltration Over Alternative Protocol,100,0,3,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Case Summary | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Exfiltration | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Key Takeaways,facilitate the exfiltration of data
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1059,,100,0,0,,
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1059.001,PowerShell,100,0,1,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Execution,numerous PowerShell commands were executed
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1059.003,Windows Command Shell,100,0,2,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Execution,a batch script used to execute a RClone job
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1059.005,Visual Basic,100,0,2,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Execution | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Exfiltration,<mark>`nocmd.vbs`</mark> was executed as part of the exfiltration process
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1110,,100,0,0,,
