report,technique_id,technique_name,confidence,flagged,chunk_id,heading_path,evidence,reason
dfir-2026-08-24-bengalseo-part-1-anatomy-of-the-operation,T1608.006,SEO Poisoning,100,0,0a562e52-5ec3-4b5e-813e-976495aceee7:1,BengalSEO Part 1: Anatomy of the Operation > Key Takeaways,SEO Poisoning,The excerpt explicitly mentions 'SEO Poisoning campaign' and 'Black Hat SEO techniques'.
dfir-2026-08-24-bengalseo-part-1-anatomy-of-the-operation,T1587.001,Malware,80,0,0a562e52-5ec3-4b5e-813e-976495aceee7:1,BengalSEO Part 1: Anatomy of the Operation > Key Takeaways,custom malware strain,The excerpt describes the deployment of a custom malware strain named MayaBot.
dfir-2026-08-24-bengalseo-part-1-anatomy-of-the-operation,T1608.006,SEO Poisoning,20,1,0a562e52-5ec3-4b5e-813e-976495aceee7:3,BengalSEO Part 1: Anatomy of the Operation > Case Summary,malware deployment,The excerpt describes a campaign leading to malware deployment.
dfir-2026-08-24-bengalseo-part-1-anatomy-of-the-operation,T1591,Gather Victim Org Information,20,1,0a562e52-5ec3-4b5e-813e-976495aceee7:3,BengalSEO Part 1: Anatomy of the Operation > Case Summary,gathering information,The excerpt mentions gathering information about the victim's organization.
dfir-2026-08-24-bengalseo-part-1-anatomy-of-the-operation,T1583.008,Malvertising,20,1,0a562e52-5ec3-4b5e-813e-976495aceee7:4,BengalSEO Part 1: Anatomy of the Operation > Case Summary,SEO poisoning,The excerpt mentions 'SEO poisoning campaigns' which is a form of malvertising.
dfir-2026-08-24-bengalseo-part-1-anatomy-of-the-operation,T1608.006,SEO Poisoning,20,1,0a562e52-5ec3-4b5e-813e-976495aceee7:4,BengalSEO Part 1: Anatomy of the Operation > Case Summary,custom malware,The excerpt explicitly states that BengalSEO uses custom malware for SEO poisoning.
dfir-2026-08-24-bengalseo-part-1-anatomy-of-the-operation,T1195,Supply Chain Compromise,20,1,0a562e52-5ec3-4b5e-813e-976495aceee7:6,BengalSEO Part 1: Anatomy of the Operation > Delivery Chain,delivery chain,The report describes BengalSEO's delivery chain and technology stack.
dfir-2026-08-24-bengalseo-part-1-anatomy-of-the-operation,T1608.006,SEO Poisoning,100,0,0a562e52-5ec3-4b5e-813e-976495aceee7:7,BengalSEO Part 1: Anatomy of the Operation > Lure Pages,SEO poisoning,Operators use SEO poisoning to promote domains.
dfir-2026-08-24-bengalseo-part-1-anatomy-of-the-operation,T1090,Proxy,80,0,0a562e52-5ec3-4b5e-813e-976495aceee7:8,BengalSEO Part 1: Anatomy of the Operation > Traffic Distribution System,rotating network,The excerpt describes a rotating network of redirector domains to route victims.
dfir-2026-08-24-bengalseo-part-1-anatomy-of-the-operation,T1608.005,Link Target,90,0,0a562e52-5ec3-4b5e-813e-976495aceee7:8,BengalSEO Part 1: Anatomy of the Operation > Traffic Distribution System,base62 encoding,The excerpt shows the use of base62 or base64 encoding for tracking identifiers.
